client_ref,order_id,duration,deadline,known_difficult,created_on,last_modified_on,created_on_time,deadline_period,order_weekday,order_hours
b7aa9d3a62-e6cbcbb6-1604014801146549595,NA,301.09000000000015,1604065201,0,1604014802,1604014802,2020-10-29T23:40:02Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014800054881071,NA,298.46000000000004,1604065200,0,1604014801,1604014801,2020-10-29T23:40:01Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014798304800426,NA,300.44000000000005,1604065198,0,1604014799,1604014799,2020-10-29T23:39:59Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014796746363189,NA,299.97000000000025,1604065197,0,1604014798,1604014798,2020-10-29T23:39:58Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014786663878076,NA,298.3800000000001,1604065187,0,1604014788,1604014788,2020-10-29T23:39:48Z,14,Thu,23
4400066059-436e1933-1604014785753673968,NA,301.12,1604065186,0,1604014787,1604014787,2020-10-29T23:39:47Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014783965816354,NA,300.27999999999975,1604065184,0,1604014785,1604014785,2020-10-29T23:39:45Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014781572087103,NA,296.78000000000065,1604065181,0,1604014782,1604014782,2020-10-29T23:39:42Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014780076062375,NA,302.59000000000015,1604065180,0,1604014781,1604014781,2020-10-29T23:39:41Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014755188730801,NA,302.0099999999993,1604065155,0,1604014756,1604014756,2020-10-29T23:39:16Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014750756316395,NA,296.3699999999999,1604065151,0,1604014751,1604014751,2020-10-29T23:39:11Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014740099163919,NA,301.8699999999999,1604065140,0,1604014741,1604014741,2020-10-29T23:39:01Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014701971131061,NA,302.71999999999935,1604065102,0,1604014703,1604014703,2020-10-29T23:38:23Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014701489696797,NA,295.6999999999998,1604065102,0,1604014702,1604014702,2020-10-29T23:38:22Z,14,Thu,23
4400066059-436e1933-1604014688284336673,NA,298.61999999999995,1604065088,0,1604014689,1604014689,2020-10-29T23:38:09Z,14,Thu,23
4400066059-436e1933-1604014684972816773,NA,300.40999999999985,1604065086,0,1604014687,1604014687,2020-10-29T23:38:07Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014684999028815,NA,304.24,1604065086,0,1604014687,1604014687,2020-10-29T23:38:07Z,14,Thu,23
4400066059-436e1933-1604014678327451802,NA,295.44,1604065079,0,1604014680,1604014680,2020-10-29T23:38:00Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014677083627527,NA,303.04999999999995,1604065078,0,1604014679,1604014679,2020-10-29T23:37:59Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014672236171818,NA,308.2800000000002,1604065072,0,1604014673,1604014673,2020-10-29T23:37:53Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014664186741011,NA,301.3299999999999,1604065064,0,1604014665,1604014665,2020-10-29T23:37:45Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014662867452500,NA,297.77000000000044,1604065063,0,1604014664,1604014664,2020-10-29T23:37:44Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014659331930623,NA,291.1999999999998,1604065059,0,1604014660,1604014660,2020-10-29T23:37:40Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014654968344263,NA,302.94000000000005,1604065055,0,1604014656,1604014656,2020-10-29T23:37:36Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014651989952110,NA,300.03499999999997,1604065052,0,1604014654,1604014654,2020-10-29T23:37:34Z,14,Thu,23
4400066059-436e1933-1604014650475670060,NA,308.1500000000001,1604065050,0,1604014651,1604014651,2020-10-29T23:37:31Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014648607222325,NA,301.6199999999999,1604065048,0,1604014649,1604014649,2020-10-29T23:37:29Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014647833486215,NA,300.64999999999964,1604065048,0,1604014648,1604014648,2020-10-29T23:37:28Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014631956509548,NA,302.5300000000002,1604065032,0,1604014633,1604014633,2020-10-29T23:37:13Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014631220781714,NA,308.99,1604065031,0,1604014632,1604014632,2020-10-29T23:37:12Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014603031314360,NA,300.8899999999999,1604065003,0,1604014604,1604014604,2020-10-29T23:36:44Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014571588338179,NA,301.225,1604064971,0,1604014572,1604014572,2020-10-29T23:36:12Z,14,Thu,23
4400066059-436e1933-1604014517969596172,NA,88.38000000000011,1604064918,0,1604014519,1604014519,2020-10-29T23:35:19Z,14,Thu,23
e4bc3f07c2-caf3c68f-1604014379663100309,NA,62.280000000000655,1604064780,0,1604014381,1604014381,2020-10-29T23:33:01Z,14,Thu,23
648e7da2dc-721ce033-1604014234619079220,NA,206.755,1604064634,0,1604014236,1604014236,2020-10-29T23:30:36Z,14,Thu,23
648e7da2dc-721ce033-1604014218673788220,NA,291.235,1604064618,0,1604014220,1604014220,2020-10-29T23:30:20Z,14,Thu,23
d6961c77ee-896c83bdadfa-1604011699006858192,NA,294.1600000000001,1604065699,0,1604011700,1604011700,2020-10-29T22:48:20Z,15,Thu,22
d6961c77ee-896c83bdadfa-1604011694061144123,NA,303.885,1604065694,0,1604011695,1604011695,2020-10-29T22:48:15Z,15,Thu,22
d6961c77ee-896c83bdadfa-1604011682850866165,NA,288.92499999999995,1604065683,0,1604011684,1604011684,2020-10-29T22:48:04Z,15,Thu,22
d6961c77ee-896c83bdadfa-1604011673394651263,NA,295.48,1604065674,0,1604011676,1604011676,2020-10-29T22:47:56Z,15,Thu,22
d6961c77ee-896c83bdadfa-1604011642952212772,NA,220.15999999999985,1604065643,0,1604011644,1604011644,2020-10-29T22:47:24Z,15,Thu,22
50c9406377-439c4132e6a4-1604008112158690489,NA,62.63000000000102,1604036912,0,1604008186,1604008186,2020-10-29T21:49:46Z,8,Thu,21
50c9406377-439c4132e6a4-1604008112158679278,NA,298.72999999999956,1604036912,0,1604008185,1604008185,2020-10-29T21:49:45Z,8,Thu,21
